pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
HD 214823,b,HD 214823 b,Radial Velocity,0,1,1854.4,1.1,-1.1,0,3.23,0.2,-0.2,0,0.1641,0.0026,-0.0026,0,,,,0,20.3,2.6,-2.6,0,Msini,,,,0,,,,0,0,0,0,0,22h40m19.87s,340.082794,+31d47m15.3s,31.787594,101.66,0.49,-0.49,0,101.66,0.49,-0.49,0,8.06,,0,V (Johnson),7.916,,0,5933,,,0,1.31,0.24,-0.24,0,2.04,0.15,-0.15,0,9/27/2018,Haute-Provence Observatory
HD 215152,b,HD 215152 b,Radial Velocity,0,4,5.75999,0.00157,-0.00175,0,0.057638,0.000739,-0.000759,0,0,,,0,,,,0,0.00572,0.00158,-0.00198,0,Msini,,,,0,,,,0,0,0,0,0,22h43m21.30s,340.838745,-06d24m03.0s,-6.400821,21.61,0.05,-0.05,0,21.61,0.05,-0.05,0,8.11,0,0,V (Johnson),7.802,,0,4935,76,-76,0,0.77,0.01,-0.01,0,0.73,0.02,-0.02,0,2/22/2018,La Silla Observatory
HD 215152,c,HD 215152 c,Radial Velocity,0,4,7.28243,0.00451,-0.00827,0,0.067393,0.00086,-0.000893,0,0,,,0,,,,0,0.00541,0.00194,-0.00228,0,Msini,,,,0,,,,0,0,0,0,0,22h43m21.30s,340.838745,-06d24m03.0s,-6.400821,21.61,0.05,-0.05,0,21.61,0.05,-0.05,0,8.11,0,0,V (Johnson),7.802,,0,4935,76,-76,0,0.77,0.01,-0.01,0,0.73,0.02,-0.02,0,2/22/2018,La Silla Observatory
HD 215152,d,HD 215152 d,Radial Velocity,0,4,10.86499,0.00564,-0.00613,0,0.08799,0.00113,-0.00116,0,0,,,0,,,,0,0.00881,0.00255,-0.0029,0,Msini,,,,0,,,,0,0,0,0,0,22h43m21.30s,340.838745,-06d24m03.0s,-6.400821,21.61,0.05,-0.05,0,21.61,0.05,-0.05,0,8.11,0,0,V (Johnson),7.802,,0,4935,76,-76,0,0.77,0.01,-0.01,0,0.73,0.02,-0.02,0,2/22/2018,La Silla Observatory
HD 215152,e,HD 215152 e,Radial Velocity,0,4,25.1967,0.0476,-0.0505,0,0.15417,0.00199,-0.00204,0,0,,,0,,,,0,0.00905,0.00334,-0.00466,0,Msini,,,,0,,,,0,0,0,0,0,22h43m21.30s,340.838745,-06d24m03.0s,-6.400821,21.61,0.05,-0.05,0,21.61,0.05,-0.05,0,8.11,0,0,V (Johnson),7.802,,0,4935,76,-76,0,0.77,0.01,-0.01,0,0.73,0.02,-0.02,0,2/22/2018,La Silla Observatory
HD 215497,b,HD 215497 b,Radial Velocity,0,2,3.93404,0.00066,-0.00066,0,0.05,0,0,0,0.16,0.09,-0.09,0,,,,0,0.02,0.01,-0.01,0,Msini,,,,0,,,,0,0,0,0,0,22h46m36.75s,341.653137,-56d35m58.3s,-56.599533,40.59,0.05,-0.05,0,40.59,0.05,-0.05,0,8.96,,0,V (Johnson),8.686,,0,5110,108,-108,0,0.67,0.33,-0.33,0,0.85,0.04,-0.04,0,9/6/2018,La Silla Observatory
HD 215497,c,HD 215497 c,Radial Velocity,0,2,567.94,2.7,-2.7,0,1.282,,,0,0.49,0.04,-0.04,0,,,,,0.33,,,0,Msini,,,,,,,,,0,0,0,0,22h46m36.75s,341.653137,-56d35m58.3s,-56.599533,40.59,0.05,-0.05,0,40.59,0.05,-0.05,0,8.96,,0,V (Johnson),8.686,,0,5110,108,-108,0,0.67,0.33,-0.33,0,0.85,0.04,-0.04,0,11/19/2014,La Silla Observatory
HD 216435,b,HD 216435 b,Radial Velocity,0,1,1311,49,-49,0,2.56,0.17,-0.17,0,0.07,0.078,-0.078,0,,,,,1.26,0.13,-0.13,0,Msini,,,,,,,,,0,0,0,0,22h53m37.93s,343.408051,-48d35m53.8s,-48.598286,33.01,0.08,-0.08,0,33.01,0.08,-0.08,0,6.03,,0,V (Johnson),5.872,,0,5999,60,-60,0,1.3,,,0,,,,,7/23/2014,Anglo-Australian Telescope
HD 216437,b,HD 216437 b,Radial Velocity,0,1,1334.28,13.07,-13.36,0,2.497,0.036,-0.037,0,0.317,0.028,-0.027,0,,,,0,2.223,0.058,-0.058,0,Msini,,,,0,,,,0,0,0,0,0,22h54m39.48s,343.66452,-70d04m25.3s,-70.073708,26.71,0.03,-0.03,0,26.71,0.03,-0.03,0,6.057,0.001,0,V (Johnson),5.883,,0,5909,31,-31,0,1.17,0.05,-0.05,0,1.39,0.03,-0.03,0,6/27/2019,Anglo-Australian Telescope
HD 216536,b,HD 216536 b,Radial Velocity,0,1,148.60001,0.7,-0.7,0,0.61,0.06,-0.06,0,0.38,0.11,-0.11,0,,,,0,1.05,0.4,-0.4,0,Msini,,,,0,,,,0,0,0,0,0,22h53m03.98s,343.266598,+44d28m39.9s,44.477753,380.33,3.83,-3.83,0,380.33,3.83,-3.83,0,9.23,0.02,0,V (Johnson),8.883,,0,4639,45,-45,0,0.81,0.44,-0.44,0,9.83,1.28,-1.28,0,9/6/2018,McDonald Observatory
